Chapter-Verse,Sloka (Sanskrit),Sloka (English Translation),Meaning/Interpretation,Famous Quotes,Persons,Comparison/Relations
1:45,अहो बत महत्पापं कर्तुं व्यवसिता वयम्। यद्राज्यसुखलोभेन हन्तुं स्वजनमुद्यताः।।,Alas! We have resolved to commit a great sin by being ready to kill our own kinsmen for the greed of the pleasures of a kingdom.,Depicts Arjuna's remorse.,Greed is not a financial issue. It’s a heart issue.,Andy Stanley,Warns about the perils of greed.
1:46,यदि मामप्रतीकारमशस्त्रं शस्त्रपाणयः। धार्तराष्ट्रा रणे हन्युस्तन्मे क्षेमतरं भवेत्।।,"If the sons of Dhritarashtra, weapons in hand, slay me unresisting and unarmed in battle, that would be better for me.",Conveys Arjuna's preference for peace over war.,"It is not how the world is, it is how we see it.",Stephen Covey,Suggests perception shapes actions.
1:47,सञ्जय उवाच। एवमुक्त्वार्जुनः सङ्ख्ये रथोपस्थ उपाविशत्। विसृज्य सशरं चापं शोकसंविग्नमानसः।।,"Sanjaya said: Having spoken thus in the midst of the battlefield, Arjuna cast aside his bow and arrows and sat down on the chariot, his mind overwhelmed with grief.",Describes Arjuna's surrender to despair.,He who has a why to live can bear almost any how.,Friedrich Nietzsche,Highlights the need for purpose in hardship.
2:1,सञ्जय उवाच। तं तथा कृपयाविष्टमश्रुपूर्णाकुलेक्षणम्। विषीदन्तमिदं वाक्यमुवाच मधुसूदनः।।,"Sanjaya said: Seeing Arjuna overwhelmed with compassion, sorrowful, and his eyes brimming with tears, Madhusudana spoke these words.",Describes Arjuna's emotional turmoil.,"Tears shed for self are tears of weakness, but tears shed for others are a sign of strength.",Billy Graham,Highlights the strength in empathy.
2:2,श्रीभगवानुवाच। कुतस्त्वा कश्मलमिदं विषमे समुपस्थितम्। अनार्यजुष्टमस्वर्ग्यमकीर्तिकरमर्जुन।।,"The Blessed Lord said: Arjuna, how has this delusion overtaken you at this crucial moment? It is unworthy of an honorable person, does not lead to heaven, and brings infamy.",Krishna rebukes Arjuna's despair.,"It is not what happens to you, but how you react to it that matters.",Epictetus,Reflects resilience in adversity.
2:3,क्लैब्यं मा स्म गमः पार्थ नैतत्तवयुपपद्यते। क्षुद्रं हृदयदौर्बल्यं त्यक्त्वोत्तिष्ठ परन्तप।।,"Do not yield to unmanliness, O Partha! It does not befit you. Shake off this base faint-heartedness and arise, O scorcher of enemies!",Urges Arjuna to rise above his weakness.,Strength does not come from physical capacity. It comes from an indomitable will.,Mahatma Gandhi,Encourages mental fortitude.
2:4,अर्जुन उवाच। कथं भीष्ममहं सङ्ख्ये द्रोणं च मधुसूदन। इषुभिः प्रतियोत्स्यामि पूजार्हावरिसूदन।।,"Arjuna said: O Madhusudana! How shall I strike Bhishma and Drona with arrows in battle, for they are worthy of my worship?",Arjuna's moral conflict.,Respect for the truth comes close to being the basis for all morality.,Frank Herbert,Reflects Arjuna's moral struggle.
2:5,गुरूनहत्वा हि महानुभावान्। श्रेयो भोक्तुं भैक्ष्यमपीह लोके। हत्वार्थकामांस्तु गुरूनिहैव। भुञ्जीय भोगान् रुधिरप्रदिग्धान्।।,"It is better to live in this world by begging than to kill these great souls, my teachers. If I kill them, all my worldly pleasures will be tainted with their blood.",Expresses Arjuna's dilemma about violence.,He who conquers others is strong; he who conquers himself is mighty.,Lao Tzu,Speaks about self-control.
2:6,न चैतद्विद्मः कतरन्नो गरीयो। यद्वा जयेम यदि वा नो जयेयुः। यान एव हत्वा न जिजीविषामः। तेऽवस्थिताः प्रमुखे धार्तराष्ट्राः।।,"We do not know which is better — to conquer them or be conquered by them. The sons of Dhritarashtra stand before us, and killing them, we would not wish to live.",Conveys Arjuna's uncertainty.,In the middle of difficulty lies opportunity.,Albert Einstein,Points to the struggle of tough decisions.
2:7,कार्पण्यदोषोपहतस्वभावः। पृच्छामि त्वां धर्मसंमूढचेताः। यच्छ्रेयः स्यान्निश्चितं ब्रूहि तन्मे। शिष्यस्तेऽहं शाधि मां त्वां प्रपन्नम्।।,"My nature is overcome by a sense of helplessness. I ask You, tell me clearly what is best for me. I am Your disciple; instruct me, I have taken refuge in You.",Arjuna surrenders to Krishna's wisdom.,"He who opens a school door, closes a prison.",Victor Hugo,Highlights seeking guidance.
2:8,न हि प्रपश्यामि ममापनुद्याद्। यच्छोकमुछोषणमिन्द्रियाणाम्। अवाप्य भूमावसपत्नमृद्धम्। राज्यं सुराणामपि चाधिपत्यम्।।,"I do not see anything that can drive away this sorrow which is drying up my senses, not even if I were to obtain an unrivaled and prosperous kingdom on earth, or sovereignty like the gods in heaven.",Expresses Arjuna's despair.,Despair is the price one pays for setting oneself an impossible aim.,Graham Greene,Reflects the burden of hopelessness.
2:9,सञ्जय उवाच। एवमुक्त्वा हृषीकेशं गुडाकेशः परन्तप। न योत्स्य इति गोविन्दमुक्त्वा तूष्णीं बभूव ह।।,"Sanjaya said: Having spoken thus to Hrishikesha, Arjuna (Gudakesha), the conqueror of sleep, declared 'I shall not fight,' and became silent.",Arjuna's withdrawal from battle.,Silence is a source of great strength.,Lao Tzu,Emphasizes the power of silence.
2:10,तमुवाच हृषीकेशः प्रहसन्निव भारत। सेनयोरुभयोर्मध्ये विषीदन्तमिदं वचः।।,"Hrishikesha (Krishna) spoke these words, smiling as it were, O Bharata, to the despondent Arjuna in the midst of the two armies.",Introduces Krishna's guidance.,A smile is the universal welcome.,Max Eastman,Hints at Krishna's comforting presence.
2:11,श्रीभगवानुवाच। अशोच्यानन्वशोचस्त्वं प्रज्ञावादांश्च भाषसे। गतासूनगतासूंश्च नानुशोचन्ति पण्डिताः।।,"The Blessed Lord said: You grieve for those who should not be grieved for, yet speak words of wisdom. The wise lament neither for the living nor the dead.",Krishna rebukes Arjuna for misplaced sorrow.,He who has overcome his fears will truly be free.,Aristotle,Teaches detachment from sorrow.
2:12,न त्वेवाहं जातु नासं न त्वं नेमे जनाधिपाः। न चैव न भविष्यामः सर्वे वयमतः परम्।।,"Never was there a time when I did not exist, nor you, nor these kings; nor will any of us cease to exist in the future.",Emphasizes the eternal nature of the soul.,Death is not extinguishing the light; it is only putting out the lamp because the dawn has come.,Rabindranath Tagore,Reflects on the immortality of the soul.
2:13,देहिनोऽस्मिन्यथा देहे कौमारं यौवनं जरा। तथा देहान्तरप्राप्तिर्धीरस्तत्र न मुह्यति।।,"Just as the soul passes from childhood to youth to old age in this body, it similarly passes into another body after death. The wise are not deluded by this.",Describes the soul's journey.,What we call the beginning is often the end. And to make an end is to make a beginning.,T.S. Eliot,Reinforces the cycle of life.
2:14,मात्रास्पर्शास्तु कौन्तेय शीतोष्णसुखदुःखदाः। आगमापायिनोऽनित्यास्तांस्तितिक्षस्व भारत।।,"O son of Kunti, the contact between the senses and their objects gives rise to fleeting experiences of happiness and distress. Endure them bravely, O Bharata.",Urges tolerance of sensory experiences.,Pain is inevitable. Suffering is optional.,Haruki Murakami,Encourages inner strength.
2:15,यं हि न व्यथयन्त्येते पुरुषं पुरुषर्षभ। समदुःखसुखं धीरं सोऽमृतत्वाय कल्पते।।,"The person who is not disturbed by happiness and distress, and remains steady in both, becomes eligible for liberation.",Defines the path to liberation.,Happiness depends upon ourselves.,Aristotle,Points to inner equilibrium.
2:16,नासतो विद्यते भावो नाभावो विद्यते सतः। उभयोरपि दृष्टोऽन्तस्त्वनयोस्तत्त्वदर्शिभिः।।,"The unreal has no existence, and the real never ceases to be; the seers of truth have concluded the same.",Differentiates reality and illusion.,"Reality is that which, when you stop believing in it, doesn’t go away.",Philip K. Dick,Explores eternal truths.
2:17,अविनाशि तु तद्विद्धि येन सर्वमिदं ततम्। विनाशमव्ययस्यास्य न कश्चित्कर्तुमर्हति।।,Know that which pervades the entire body is indestructible. No one can destroy the imperishable soul.,Asserts the soul's indestructibility.,"The soul is placed in the body like a rough diamond, and must be polished.",John Locke,Strengthens belief in the eternal soul.
2:18,अन्तवन्त इमे देहा नित्यस्योक्ता: शरीरिणः। अनाशिनोऽप्रमेयस्य तस्माद्युध्यस्व भारत।।,"These bodies of the eternal, indestructible, and immeasurable soul are perishable. Therefore, fight, O Bharata.",Encourages action with detachment.,Action is the foundational key to all success.,Pablo Picasso,Highlights the need for righteous action.
2:19,य एनं वेत्ति हन्तारं यश्चैनं मन्यते हतम्। उभौ तौ न विजानीतो नायं हन्ति न हन्यते।।,He who thinks the soul can kill or be killed is ignorant; the soul neither kills nor is killed.,Dispels confusion about the soul's mortality.,Fear is the mind-killer.,Frank Herbert,Breaks the illusion of fear.
2:20,न जायते म्रियते वा कदाचिन्। नायं भूत्वा भविता वा न भूयः। अजो नित्यः शाश्वतोऽयं पुराणो। न हन्यते हन्यमाने शरीरे।।,"The soul is neither born, nor does it ever die; having once existed, it never ceases to be. The soul is unborn, eternal, ever-existing, and primeval. It is not slain when the body is slain.",Reinforces the soul's eternity.,Nothing real can be threatened. Nothing unreal exists.,A Course in Miracles,Asserts the unchanging nature of the soul.
2:21,वेधमिष्टमयं सद्भिः प्रणिपातेन सेवया। उपदेक्ष्यन्ति ते ज्ञानं ज्ञानिनस्तत्त्वदर्शिनः।।,"Approach those who have realized the truth. Inquire from them with reverence, serve them, and they will impart wisdom to you.",Encourages seeking wisdom from the enlightened.,The only true wisdom is in knowing you know nothing.,Socrates,Highlights humility in acquiring knowledge.
2:22,न त्वं नाहं जातु नासं न त्वं नेमे जनाधिपाः। न चैव न भविष्यामः सर्वे वयमतः परम्।।,"There was never a time when I did not exist, nor you, nor these kings; nor will any of us cease to exist in the future.",Affirms the soul's eternal existence.,What we call the beginning is often the end. And to make an end is to make a beginning.,T.S. Eliot,Reinforces the concept of eternal life.
2:23,वासांसि जीर्णानि यथा विहाय नवानि गृह्णाति नरोऽपराणि। तथा शरीराणि विहाय जीर्णान्यन्यानि संयाति नवानि देही।।,"Just as a person sheds worn-out clothes and wears new ones, so does the soul cast off its worn-out body and enters a new one.",Describes reincarnation vividly.,Change is the only constant in life.,Heraclitus,Underlines the cycle of rebirth.
2:24,नैनं छिन्दन्ति शस्त्राणि नैनं दहति पावकः। न चैनं क्लेदयन्त्यापो न शोषयति मारुतः।।,"Weapons cannot cut the soul, nor can fire burn it; water cannot wet it, nor can wind dry it.",Explains the soul's invulnerability.,The soul is stronger than its surroundings.,Ralph Waldo Emerson,Emphasizes the soul's strength.
2:25,अच्छेद्योऽयमदाह्योऽयमक्लेद्योऽशोष्य एव च। नित्यः सर्वगतः स्थाणुरचलोऽयं सनातनः।।,"The soul is unbreakable, cannot be burned, dissolved, or dried. It is everlasting, omnipresent, unchangeable, and eternal.",Describes the indestructible soul.,Nothing real can be threatened. Nothing unreal exists.,A Course in Miracles,Affirms the soul's permanence.
2:26,अव्यक्तोऽयमचिन्त्योऽयमविकार्योऽयमुच्यते। तस्मादेवं विदित्वैनं नानुशोचितुमर्हसि।।,"The soul is said to be unmanifest, inconceivable, and immutable. Knowing this, you should not grieve.",Stresses that the soul transcends human perception.,"Grief never ends, but it changes.",Elizabeth Kübler-Ross,Encourages acceptance.
2:27,अथ चैनं नित्यजातं नित्यं वा मन्यसे मृतम्। तथापि त्वं महाबाहो नैनं शोचितुमर्हसि।।,"Even if you think of the soul as constantly being born and dying, still, you should not grieve.","Argues against sorrow, regardless of belief.",Life is a cycle of beginnings and endings.,Carl Sagan,Acknowledges cyclical life views.
